accession,Dataset,fits_new,outer_tepal_shape_(verbatim),outer_tepal_shape_cleansed,outer_tepal_lanceolate_acuminate,tepal_spread,tepal_spread_spreading,tepal_spread_curved,tepal_spread_twisted,tepal_spread_other,tepal_length_outer_inner_1,tepal_length_outer_inner_2,tepal_length_outer_inner_3,tepal_length_outer_inner_4,tepal_length_outer_inner_5,tepal_length_outer_inner_6,tepal_length_outer_inner_7,tepal_length_outer_inner_8,tepal_length_outer_inner_9,tepal_length_outer_inner_10,tepal_inner_length_avg,tepal_outer_length_avg,tepal_inner_outer_ratio_avg,inner_tepal_edges,inner_tepal_edges_ruffled,inner_tepal_edges_beaded,inner_tepal_edges_denticulate,inner_tepal_edges_undulate,inner_tepal_edges_scalloped,inner_tepal_edges_rolled,inner_tepal_edges_other,flowers_just_opening,flowers_per_inflo,flowers_per_info_avg,bulb_coat_reticulation,bulb-coat_honeycomb,bulb-coat_squarish,bulb-coat_irregular,bulb-coat_thickwalled,bulb-coat_sinuous,bulb-coat_variable,ovary_cresting,ovary_long_projections,notes,collection_date,country,state,county,elevation,elevation_calculated,latitude,longitude,within_lat_long_range
364678,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,10; 9,10.5; 9,10; 8,11; 8.5,11; 8,11; 8,11; 9,11.5; 10,NA,NA,8.6875,10.7500,0.8090,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,6; 9; 7; 14; 6; 10; 6; 16,9.25,squarish; honeycomb; irregular,Yes,Yes,Yes,No,No,No,No,No,,2005/05/29,U.S.A.,WA,San Juan,0,7.48,48.427083,-122.889233,0
366729,2,No,gradual taper,gradual taper,No,spreading,Yes,No,No,NA,10; 9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5000,10.0000,0.9500,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,6; 9; 7; 19,10.25,honeycomb; thick walled,Yes,No,No,Yes,No,No,No,No,,2006/06/28,U.S.A.,WA,Chelan,904,902.19,48.395283,-120.829767,0
366862,2,No,sharp taper to tip; lanceolate-acuminate,sharp taper; lanceolate-acuminate,Yes,some spreading,Some,No,No,NA,11; 10.5,12; 11.5,NA,NA,NA,NA,NA,NA,NA,NA,11.0000,11.5000,0.9564,slightly-ruffled; beaded,Some,Yes,No,No,No,No,NA,FALSE,7; 11; 17; 16,12.75,honeycomb; not thick walled,Yes,No,No,No,No,No,Yes,No,,2006/06/28,U.S.A.,WA,Chelan,390,390.27,48.309444,-120.653611,0
371680,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,11; 9,11; 9,10; 8.5,10; 9,11; 9,NA,NA,NA,NA,NA,8.9000,10.6000,0.8409,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,8; 11; 8; 10; 8; 12; 11,9.714285714,squarish; honeycomb,Yes,Yes,No,No,No,No,Yes,No,,2006/05/23,U.S.A.,WA,Skagit,5,19.91,48.535681,-122.556623,0
375492,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ruffled,Yes,No,No,No,No,No,NA,FALSE,15; 7; 16,12.66666667,squarish; honeycomb,Yes,Yes,No,No,No,No,NA,NA,,2007/09/21,U.S.A.,WA,San Juan,15.74,15.74,48.415278,-122.82397,0
375628,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ruffled,Yes,No,No,No,No,No,NA,FALSE,11; 14; 10; 9; 6; 11,10.16666667,squarish; honeycomb; irregular,Yes,Yes,Yes,No,No,No,NA,NA,Fruits dispersed,2007/09/21,U.S.A.,WA,San Juan,34.45,34.45,48.421,-122.823,0
375655,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ruffled; slightly-beaded,Yes,Some,No,No,No,No,NA,FALSE,15; 4,9.5,squarish; honeycomb,Yes,Yes,No,No,No,No,NA,NA,,2007/09/19,U.S.A.,WA,San Juan,16.5,16.5,48.604714,-123.015644,0
378708,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,11; 9,10; 8.5,10.5; 9.5,10.5; 9,11; 9,11; 9.5,11; 9.5,NA,NA,NA,9.1429,10.7143,0.8536,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,13; 8; 11; 6; 4,8.4,squarish; honeycomb; irregular,Yes,Yes,Yes,No,No,No,No,No,,2007/06/07,U.S.A.,WA,Skagit,50.87,50.87,48.5221,-122.545467,0
380628,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,9; 8,9; 8,8; 7.5,9; 8.5,9; 8.5,9; 8,9; 8.5,11; 9.5,11; 10,NA,8.5000,9.3333,0.9122,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,21; 20; 19,20,squarish; honeycomb; irregular,Yes,Yes,Yes,No,No,No,Yes,No,,1952/07/06,U.S.A.,ID,Washington,1141,809.99,44.572662,-116.67599,0
380687,2,No,sharp taper,sharp taper,No,some spreading,Some,No,No,NA,9; 8.5,8; 8,9; 8.5,NA,NA,NA,NA,NA,NA,NA,8.3333,8.6667,0.9630,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,10,10,irregular; hoenycomb; not thick walled,Yes,No,Yes,No,No,No,No,No,,1964/06/25,U.S.A.,ID,Bannock,1677,1361.24,42.95791,-112.469913,0
381133,1,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,NA,NA,squarish; honeycomb,Yes,Yes,No,No,No,No,NA,NA,Very damaged.  Most measurements not available,2007/09/27,U.S.A.,WA,San Juan,0,6.65,48.753209,-122.885518,0
381567,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,11; 8.5,9; 8,11; 8.5,11; 8.5,NA,NA,NA,NA,NA,NA,8.3750,10.5000,0.8018,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,6; 11; 6; 12,8.75,NA,NA,NA,NA,NA,NA,NA,No,No,No bulb,2005/05/29,U.S.A.,WA,San Juan,0,9.44,48.432,-122.802633,0
381766,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading,Yes,No,No,NA,11.5; 10,11.5; 10,9; 8,12; 10.5,10; 9.5,NA,NA,NA,NA,NA,9.6000,10.8000,0.8906,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,8; 9; 6; 6; 5; 9; 7; 7; 8,7.222222222,squarish; honeycomb,Yes,Yes,No,No,No,No,No,No,,2005/05/28,U.S.A.,WA,San Juan,5,1.32,48.464997,-122.839526,0
382032,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,slightly-spreading,Some,No,No,NA,11; 9,11; 9.5,10; 9,11; 10,10; 9,10.5; 9,NA,NA,NA,NA,9.2500,10.5833,0.8747,slightly-ruffled; beaded,Some,Yes,No,No,No,No,NA,FALSE,5; 10; 12; 21; 9,11.4,honeycomb; variable,Yes,No,No,No,Yes,No,NA,NA,Outermost bulb coat honeycomb.  Inner more variable,2005/05/29,U.S.A.,WA,San Juan,0,7.14,48.438217,-122.9257,0
382087,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,11; 9,10; 8,11; 9,11; 9,NA,NA,NA,NA,NA,NA,8.7500,10.7500,0.8136,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,7; 12; 6; 6; 10; 14; 9,9.142857143,squarish; honeycomb,Yes,Yes,No,No,No,No,No,No,,2005/05/30,U.S.A.,WA,San Juan,3,3.08,48.458333,-122.943817,0
382392,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,10; 8.5,10; 9,10; 8.5,NA,NA,NA,NA,NA,NA,NA,8.6667,10.0000,0.8667,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,3; 3; 2,2.666666667,squarish; honeycomb,Yes,Yes,No,No,No,No,NA,NA,,2005/05/29,U.S.A.,WA,San Juan,5,5.29,48.479966,-122.829217,0
382469,1,No,ovate; lanceolate-acuminate,lanceolate-acuminate; ovate,Yes,somewhat-spreading,Some,No,No,NA,10; 9,9; 8,10; 8.5,10.5; 9,10; 8,NA,NA,NA,NA,NA,8.5000,9.9000,0.8592,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,6; 5; 9; 5,6.25,squarish; honeycomb,Yes,Yes,No,No,No,No,No,No,,2005/05/29,U.S.A.,WA,San Juan,0,4.23,48.432533,-122.8719,0
389175,2,No,even taper,even taper,No,some spreading,Some,No,No,NA,8.5; 7.5,10; 9,9; 8,NA,NA,NA,NA,NA,NA,NA,8.1667,9.1667,0.8904,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,9; 11; 21,13.66666667,honeycomb; not thick walled,Yes,No,No,No,No,No,No,No,,2010/07/17,U.S.A.,OR,Grant,1554,1533.76,44.1522,-118.59342,0
389210,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,12; 9,12; 10,12; 10,13; 10.5,14; 11,12; 10,NA,NA,NA,NA,10.0833,12.5000,0.8072,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,11; 12; 11; 13; 16,12.6,squarish; honeycomb; irregular,Yes,Yes,Yes,No,No,No,Yes,No,,2006/05/30,U.S.A.,WA,San Juan,3,2.74,48.607717,-122.954717,0
389898,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,10; 8.5,8.5; 8,9; 7.5,10; 9,10.5; 9,10.5; 9,NA,NA,NA,NA,8.5000,9.7500,0.8731,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,6; 7; 8; 7; 11; 3; 4; 4,6.25,squarish; honeycomb; irregular,Yes,Yes,Yes,No,No,No,Yes,No,,2006/06/01,U.S.A.,WA,San Juan,4,1.9,48.607417,-122.953167,0
390132,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,slightly spreading-curved,Some,Some,No,NA,10; 9,9; 8,10; 9,NA,NA,NA,NA,NA,NA,NA,8.6667,9.6667,0.8963,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,9; 4; 5,6,squarish; honeycomb,Yes,Yes,No,No,No,No,No,No,,2006/05/30,U.S.A.,WA,San Juan,2,3.14,48.598367,-123.024067,0
392336,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,5; 5; 4,4.666666667,squarish; honeycomb,Yes,Yes,No,No,No,No,NA,NA,"Fruits dispersed, flowers tattered",2006/09/07,U.S.A.,WA,San Juan,0,14.11,48.624588,-123.185507,0
393219,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,11; 9.5,11; 9,13; 10,NA,NA,NA,NA,NA,NA,NA,9.5000,11.6667,0.8170,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,5; 7.5; 14,8.833333333,squarish; honeycomb,Yes,Yes,No,No,No,No,No,No,,2006/09/08,U.S.A.,WA,San Juan,0,11.96,48.59115,-123.017833,0
393471,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ruffled,Yes,No,No,No,No,No,NA,FALSE,NA,NA,squarish; honeycomb; slightly variable,Yes,Yes,No,No,No,some,NA,NA,Tepals withered,2006/09/06,U.S.A.,WA,San Juan,0,9.44,48.432,-122.802633,0
393480,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,13; 11,10.5; 8.5,11; 9.5,11.5; 10,NA,NA,NA,NA,NA,NA,9.7500,11.5000,0.8472,ruffled; beaded,Yes,Yes,No,No,No,No,NA,TRUE,4; 5; 7; 6; 7; 5; 8; 3,5.625,squarish; honeycomb,Yes,Yes,No,No,No,No,Yes,No,,2009/05/28,U.S.A.,WA,San Juan,8,4.54,48.66315,-123.1729,0
393504,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,11; 8.5,10; 9,9; 8.5,10.5; 9.5,9; 7,10.5; 9,11; 9,NA,NA,NA,8.6429,10.1429,0.8536,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,9; 9; 8; 11; 6; 3; 13; 6; 3; 4; 5,7.333333333,squarish; honeycomb,Yes,Yes,No,No,No,No,No,No,,NA,NA,NA,NA,14.75,14.75,48.545076,-122.853986,0
393551,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,10.5; 9,9.5; 8,11; 9.5,9; 8,NA,NA,NA,NA,NA,NA,8.6250,10.0000,0.8629,ruffled; beaded,Yes,Yes,No,No,No,No,NA,TRUE,5; 6; 5; 7; 12; 9,5.833333333,squarish; honeycomb,Yes,Yes,No,No,No,No,Yes,No,,2009/05/28,U.S.A.,WA,San Juan,1,2.72,48.600933,-123.168267,0
393588,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,13; 10,10; 8.75,10.5; 9.5,9.5; 8.5,10; 9,NA,NA,NA,NA,NA,9.1500,10.6000,0.8687,ruffled; beaded,Yes,Yes,No,No,No,No,NA,TRUE,4; 4; 8; 3; 6; 10,7,squarish; honeycomb,Yes,Yes,No,No,No,No,Yes,No,,2009/05/28,U.S.A.,WA,San Juan,6,2.58,48.647833,-123.125283,0
394118,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,11; 9.5,11; 9.5,9.5; 8.5,10; 8,11; 9.5,10.5; 8.5,NA,NA,NA,NA,8.9167,10.5000,0.8492,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,12; 4; 4; 7; 3; 3; 3,5.142857143,NA,NA,NA,NA,NA,NA,NA,Yes,No,,2008/05/28,U.S.A.,WA,San Juan,9,5.18,48.76434,-122.88818,0
394448,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,11.5; 10,11; 9,11.5; 10,10.5; 9,10; 9,10; 8.5,NA,NA,NA,NA,9.2500,10.7500,0.8607,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,7; 17; 11; 8; 9; 12; 12; 8,10.5,squarish; honeycomb; irregular,Yes,Yes,Yes,No,No,No,No,No,,2009/05/29,U.S.A.,WA,San Juan,8.24,8.24,48.76422,-122.88631,0
394451,1,No,ovate; lanceolate-acuminate,lanceolate-acuminate; ovate,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ruffled,Yes,No,No,No,No,No,NA,FALSE,NA,NA,squarish; honeycomb,Yes,Yes,No,No,No,No,NA,NA,"Flowers just opening, too young to measure",2009/05/29,U.S.A.,WA,San Juan,0.9,0.9,48.7637,-122.8865,0
394475,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,10; 8,9; 8,11.5; 10,11; 10,10.5; 10,NA,NA,NA,NA,NA,9.2000,10.4000,0.8840,ruffled,Yes,No,No,No,No,No,NA,TRUE,5; 9; 7; 3; 7; 8; 6; 3; 7; 5; 3; 10; 6; 9; 5,6.2,squarish; honeycomb,Yes,Yes,No,No,No,No,Yes,No,,2009/05/28,U.S.A.,WA,San Juan,6,0.65,48.597617,-123.1747,0
394510,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,13; 10,14; 11.5,11.5; 10,10.5; 9,11; 9,11.5; 9.5,9.5; 8,NA,NA,NA,9.5714,11.5714,0.8291,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,6; 6; 9,7,squarish; honeycomb,Yes,Yes,No,No,No,No,No,No,,2008/05/30,U.S.A.,WA,San Juan,0,1.28,48.422434,-122.851105,0
395218,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,14; 10,12; 10,11; 10,12.5; 10,12; 10,NA,NA,NA,NA,NA,10.0000,12.3000,0.8180,ruffled; beaded,Yes,Yes,No,No,No,No,NA,TRUE,11; 5; 8; 10,8.5,squarish; honeycomb; slightly variable,Yes,Yes,No,No,No,some,No,No,,2008/05/30,U.S.A.,WA,San Juan,12.43,12.43,48.423333,-122.827222,0
395267,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,13; 9,12; 9.5,12.5; 10,13; 10.5,13; 10.5,12; 9.5,NA,NA,NA,NA,9.8333,12.5833,0.7818,ruffled; beaded,Yes,Yes,No,No,No,No,NA,TRUE,7; 15; 2,8,squarish; honeycomb; slightly variable,Yes,Yes,No,No,No,some,No,No,,2008/05/28,U.S.A.,WA,San Juan,9,0.1,48.76451,-122.88758,0
396029,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,11; 9,10.5; 9,10; 8.5,10.5; 8,NA,NA,NA,NA,NA,NA,8.6250,10.5000,0.8218,ruffled; beaded,Yes,Yes,No,No,No,No,NA,NA,8; 10; 14,10.66666667,squarish; honeycomb,Yes,Yes,No,No,No,No,NA,NA,Fruits dispersed,2006/09/06,U.S.A.,WA,San Juan,0,0,48.419321,-122.869299,0
396162,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,11; 9,11.5; 10,10; 8,10.5; 9,NA,NA,NA,NA,NA,NA,9.0000,10.7500,0.8362,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,NA,NA,squarish; honeycomb,Yes,Yes,No,No,No,No,No,No,,2008/05/28,U.S.A.,WA,San Juan,10.46,10.46,48.76455,-122.88093,0
396792,2,No,sharp taper; lanceolate-acuminate,sharp taper; lanceolate-acuminate,Yes,some spreading,Some,No,No,NA,11; 9,10; 8,8; 7.5,NA,NA,NA,NA,NA,NA,NA,8.1667,9.6667,0.8519,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,9; 16; 12; 13; 8; 9; 9; 6; 7; 17; 10,10.54545455,honeycomb; not thick walled,Yes,No,No,No,No,No,No,No,,2007/07/20,U.S.A.,OR,Harney,2351,2352.01,42.720483,-118.623817,0
399313,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved; twisted; varied,Yes,Yes,Yes,varied,8.5; 7.5,8; 7,8.5; 7.5,8.5; 7.5,8; 7,NA,NA,NA,NA,NA,7.3000,8.3000,0.8794,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,14; 11,12.5,squarish; honeycomb,Yes,Yes,No,No,No,No,No,No,,1987/06/09,U.S.A.,WA,Chelan,348.1,348.1,47.58472,-120.67722,0
403595,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,13; 10,12; 10,12; 9.5,11.5; 9,12; 10,NA,NA,NA,NA,NA,9.7000,12.1000,0.8020,ruffled; slightly-beaded,Yes,Some,No,No,No,No,NA,FALSE,NA,NA,squarish; honeycomb,Yes,Yes,No,No,No,No,NA,NA,,2009/09/24,U.S.A.,WA,San Juan,12,10.46,48.76455,-122.88093,0
404630,2,Unsure,sharp taper to tip; lanceolate-acuminate,sharp taper; lanceolate-acuminate,Yes,some spreading,Some,No,No,NA,11.5; 10.5,11.5; 10,NA,NA,NA,NA,NA,NA,NA,NA,10.2500,11.5000,0.8913,some ruffled; some beaded,Some,Some,No,No,No,No,NA,FALSE,11; 10,10.5,honeycomb; not thick walled,Yes,No,No,No,No,No,No,No,,2011/06/24,U.S.A.,ID,Adams,744,944.09,44.85375,-116.81964,0
404726,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,10; 9,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.0000,10.0000,0.9000,ruffled; beaded,Yes,Yes,No,No,No,No,NA,TRUE,6; 6; 10; 5; 15; 4; 7; 7,7.5,squarish; honeycomb; irregular,Yes,Yes,Yes,No,No,No,No,No,"Most flowers not open, unable to measure",2011/06/01,U.S.A.,WA,Skagit,20,67.34,48.608981,-122.608264,0
406401,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,10; 9.5,9; 9,11; 10,11; 11,9.5; 9,11; 10.5,10.5; 10,NA,NA,NA,9.8571,10.2857,0.9591,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,21; 30; 26; 18,23.75,squarish; honeycomb; irregular,Yes,Yes,Yes,No,No,No,Yes,Yes,,2011/06/24,U.S.A.,ID,Adams,1358,1359.01,44.8689,-116.6415,0
406897,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,10; 9,10.5; 10,10; 9,10; 9,9; 8,NA,NA,NA,NA,NA,9.0000,9.9000,0.9083,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,14; 17; 22; 22; 13; 18; 14; 20,17.5,squarish; honeycomb; irregular,Yes,Yes,Yes,No,No,No,Yes,Yes,,2011/06/24,U.S.A.,ID,Adams,1250,1255.93,45.06202,-116.76025,0
409317,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,slightly spreading-curved,Some,Some,No,NA,8.5; 8,7; 6.5,7; 6,6; 5.5,NA,NA,NA,NA,NA,NA,6.5000,7.1250,0.9109,slightly-ruffled; beaded,Some,Yes,No,No,No,No,NA,FALSE,28,28,squarish; honeycomb; irregular,Yes,Yes,Yes,No,No,No,No,No,,2016/05/16,U.S.A.,WA,Lincoln,713,711.45,47.646944,-118.394167,0
419627,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,11; 10,11; 10,11; 9,11; 8.5,11; 10,NA,NA,NA,NA,NA,9.5000,11.0000,0.8636,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,20; 16; 9; 16; 12,14.6,NA,NA,NA,NA,NA,NA,NA,No,No,No bulb,2018/06/12,U.S.A.,WA,Jefferson,3.68,3.68,48.101126,-122.688564,0
421455,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,10; 9,10.5; 9.5,10; 9,9; 8.5,11.5; 10.5,11; 9,11; 10,10.5; 9.5,NA,NA,9.3750,10.4375,0.8993,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,20; 12; 23; 20,18.75,squarish; honeycomb; irregular,Yes,Yes,Yes,No,No,No,No,No,,2017/06/11,U.S.A.,WA,Chelan,640,588.3,47.684,-120.661,0
421621,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,10; 7,10; 7,11.5; 9,9; 8,10; 8.5,9; 8,10; 8,11; 9.5,10; 9,NA,8.2222,10.0556,0.8193,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,6; 9; 12; 16; 16; 13; 18,12.85714286,squarish; honeycomb; irregular,Yes,Yes,Yes,No,No,No,No,No,,2018/07/14,U.S.A.,OR,Union,1970,1982.33,44.99575,-118.353231,0
423441,2,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,11; 10,11; 9,10; 9,10; 8.5,12; 10,12; 10,NA,NA,NA,NA,9.4167,11.0000,0.8573,slightly-ruffled; beaded,Some,Yes,No,No,No,No,NA,FALSE,16; 15; 13; 9,13.25,squarish; irregular; honeycomb; not very thick-walled,Yes,Yes,Yes,No,No,No,No,No,,2018/07/14,U.S.A.,OR,Grant,1780,1792.24,44.97844,-118.370165,0
424888,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,11; 9,10; 9,9; 8,8.5; 7.5,10; 9,10; 9,9; 7.5,9; 8,NA,NA,8.3750,9.5625,0.8765,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,15; 15; 17; 22,17.25,squarish; honeycomb; irregular,Yes,Yes,Yes,No,No,No,Yes,No,,2013/05/21,U.S.A.,WA,Asotin,967,974.42,46.06192,-117.33096,0
15182JWT,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,10; 9,9; 7.5,10; 8,11; 9,11; 9,8; 7,NA,NA,NA,NA,8.2500,9.8333,0.8408,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,14; 8; 13; 13; 19; 18; 10; 9,13,squarish; honeycomb; irregular,Yes,Yes,Yes,No,No,No,No,No,,1936/07/20,U.S.A.,OR,Baker,1442.35,1442.35,45.008214,-117.192675,0
24887JWT,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,mostly spreading-curved,Yes,Yes,No,NA,10; 9,9; 8,9; 7.5,10; 9,10; 9,9.5; 8,NA,NA,NA,NA,8.4167,9.5833,0.8774,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,58; 40,49,squarish; honeycomb; irregular,Yes,Yes,Yes,No,No,No,No,No,,1927/06/22,U.S.A.,OR,Lake,1715.09,1715.09,42.188571,-120.130696,0
24897JWT,2,No,even taper,even taper,No,some spreading,Some,No,No,NA,11.5; 10.5,11; 9,11.5; 10.5,NA,NA,NA,NA,NA,NA,NA,10.0000,11.3333,0.8814,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,6; 10; 8,8,NA,NA,NA,NA,NA,NA,NA,No,No,,1928/06/24,U.S.A.,OR,Wasco,807.16,807.16,45.114166,-121.42061,0
5267B,2,No,sharp taper to tip; lanceolate-acuminate,sharp taper; lanceolate-acuminate,Yes,some spreading,Some,No,No,NA,9; 9,9; 8,NA,NA,NA,NA,NA,NA,NA,NA,8.5000,9.0000,0.9444,slightly-ruffled,Some,No,No,No,No,No,NA,FALSE,13,13,NA,NA,NA,NA,NA,NA,NA,No,No,,NA,NA,NA,NA,579.64,579.64,47.30028,-117.97444,0
5267D,2,No,sharp taper to tip; lanceolate-acuminate,sharp taper; lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,12.5; 11,12.5; 10,NA,NA,NA,NA,NA,NA,NA,NA,10.5000,12.5000,0.8400,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,8,8,NA,NA,NA,NA,NA,NA,NA,No,No,,NA,NA,NA,NA,0,0,48.619522,-122.858149,0
5420,2,Probably,gradual taper,gradual taper,No,some spreading,Some,No,No,NA,10.3; 10,9.5; 9,11; 10.5,10; 10,10; 9.5,8.5; 8.5,NA,NA,NA,NA,9.5833,9.8833,0.9705,slightly-ruffled; low-denticulate,Some,No,Yes,No,No,No,NA,FALSE,23; 11; 14; 19; 16,16.6,irregular; honeycomb,Yes,No,Yes,No,No,No,No,Yes,,1896/06/06,U.S.A.,WA,Kittitas,468.22,468.22,46.996514,-120.547847,1
